DATA,A.I. GORDONAPO014032OR0001,ACQUAFREDDA3,ALBAIRATE0150050010,ALBIZZATEPO1200200800T0,ALBONESE35,ALFIANELLO2,ANNICCO019003.0005,APPIANO GENTILE7,ARCISATEPO1200400100T0,ARCONATE0150070002,ASOLA4,AZZANO MELLA4,BAGNOLO MELLA5,BAGNOLO MELLA6,BASIGLIO0150150001,BASIGLIO0150150005,BEDIZZOLE7,BELGIOIOSO12,BEREGUARDO28,BERGAMO0160240273,BERNATE TICINO0150190001,BERNINAPO014061OU0002,BERTONICO0980020002,BIGARELLO12,BINAGO13(19),BOARIOPO014066OU0001,BOLGARE0160281385,BORGOFRANCO SUL PO15,BORNASCO7,BOZZOLO17,BREGNANO7(9),BREMBATE0160370011,BREME52,BRENNA11(15),BRESCIA8,BRUGHERIO0150340123,BUBBIANO0150350003,BUCCINASCO0150360002,BULGAROGRASSO6(8),BUSTO A.PO1202602103T0,CABIATE12(17),CANDIA45,CANTU'010 (14),CANTU'13,CAPIAGO INTIMIANO015 (22),CAPPELLA DE' PICENARDI019014.0001,CARAVAGGIO0160530002,CARBONATE1,CARIMATE9(12),CARNATE0154900021,CARNATE0154900019,CARONNO P.PO1203400600T0,CARPENEDOLO9,CASALE LITTAPO1203600300T0,CASALETTO VAPRIO019020.0001,CASALMAGGIORE019021.0008,CASALROMANO23,CASALROMANO25,CASALROMANO24,CASATENOVOPI097016101,CASEI GEROLA21,CASSANO D'ADDA0150590001,CASSOLNOVO41,CASTEL D'ARIO27,CASTEL D'ARIO26,CASTELLUCCHIO31,CASTIGLIONE DELLE STIVIERE34,CASTREZZATO10,CAVENAGO ADDA0980170064,CAVENAGO ADDA0980170003,CAVRIANA36,CAVRIANA37,CAVRIANA35,CAZZAGO SAN MARTINO11,CAZZAGO SAN MARTINO48,CERGNAGO55,CERMENATE018(2bis),CERMENATE11,CERNUSCO LOMBARDONEPC097020003,CERVESINA16,CERVIGNANO A.0980180001,CHIEVE019029.0001,CHIGNOLO D'ISOLA0160722490,CILAVEGNA38,CINGIA DE' BOTTI019031.0003,CINISELLO BALSAMO0150770073,CINISELLO BALSAMO0150770023,CITTIGLIOPO1205100100T0,CIVIDATE AL PIANO0160731283,COLOGNE12,COMAZZO0980200001,COMEZZANO13,CONCOREZZO0150840002,CORANA17,CORBETTA0150850004,COREZZANA0150920003,CORNAREDO0150870001,COTONIPO014061OR0001,CURA6,CURTATONE42,CURTATONE45,CUSAGO0150970003,DALMINE0160910003,DESIO0151000003,DORNO59,FENEGRO'4(6),FIESCO019043.0003,FIGINO SERENZA4 bis,FINO MORNASCO8(10),FOMBIO0980260002,GALLARATEPO1207000900T0,GALLARATEPO1207002201T0,GAMBARA15,GARLASCO23,GARLASCO26,GAZZUOLO49,GENZONE10,GERENZANOPO1207502002T0,GESSATE0151060008,GHEDI16,GIUSSAGO8,GIUSSAGO63,GONZAGA53,GONZAGA54,GORLE0161150118,GRAFFIGNANA0980280001,GRASSOBBIO0161170112,GRONTARDO019050.0002,GUIDIZZOLO55,GUSSOLA019052.0004,IMBERSAGOPC097039001,IMBERSAGOPC097039003,INVERIGO18,INZAGO0151140006,ISOLA DOVARESE019053.0002,ISORELLA17,ISSO0161220512-161220144,IZANO019054.0003,LAINATE0151160008,LANDRIANO30,LANGOSCO46,LAZZATE0151170003,LENO18,LEVATE0161260105,LIMIDO COMASCO5,LOCATE TRIULZI0151250001,LODIVECCHIO0980320002,LOMELLO53,LONATE P.PO1209000902T0,LONATE P.PO1209000903T0,LONATO19,LONATO20,LONATO47,LUINOPO1209202100T0,LURAGO D'ERBA16(23),MACARIA63,MACCASTORNA0980330001,MADIGNANO019055.0002,MALAGNINO019056.0003,MALEO0980350002,MARCALLO CON CASONE0151340004,MARCARIA62,MARIANO COMENSE16,MARIANO COMENSE5 bis,MARIANO COMENSE20,MARTINENGO0161330158,MEDEnan,MEDIGLIA0151390001,MERATEPC097048001,MEZZAGO0151450001,MILANO0151460036,MILANO0151460040,MILANO0151460290,MILANO0151460413,MILANO0151460477,MILANO0151461435,MILANO0151461120,MILANO0151461313,MILANO0151461379,MILANO0151461534,MISANO GERA D'ADDA0161350001,MISSAGLIAPI097049101,MONTICHIARI21,MONTICHIARI45,MONTIRONE23,MONZA0151490084,MONZAMBANO70,MORIMONDO0151500013,MORNAGOPO1210601101T0,MORNAGOPO1210601504T0,MORTARA39,MOZZATE1 (2),NAVE24,NERVIANO0151540065,NICORVO36,NOVEDRATE019(3bis),OFFANENGO019062.0005,OFFLAGA25,OLGIATE COMASCO20,OLTRONA DI SAN MAMETTE14(21),ORIO LITTA0980420003,OSNAGOPC097061011,OSTIGLIA76,OTTOBIANO56,OZZERO0151650025,PAGAZZANO0161540946,PALESTRO31,PALOSCO0161573378,PALOSCO0161573380,PANTIGLIATE0151670001,PAVIA4,PAVONE DEL MELLA26,PESCAROLO019069.0003,PESCAROLOnan,PESCHIERA BORROMEO0151710197,PIADENA019071.0003,PIEVE15,PIEVE FISSIRAGA0980450001,PINAROLO18,PIZZIGHETTONE019076.0006,POMPIANO28,PONTE S. PIETRO0161700003,PONTE S. PIETRO0161700005,PONTI SUL MINCIO80,PORTALBERA13,POZZAGLIO019077.0001,PROVAGLIO D'ISEO29,PUMENENGO0161770001,QUINGENTOLE81,REDONDESCO84,REMEDELLO30,RESCALDINA0151810001,REVERE85,REZZATO31,RHO0151820106,RIPALTA ARPINA019080.0002,RIPALTA CREMASCA019081.0002,ROBBIO33,RODANO0151850004,RODENGO32,ROMANENGO019086.0005,RONCELLO0151860001,RONCO BR.0151870001,ROVELLASCA3(5),ROVELLO PORRO017(1bis),ROVELLO PORRO4,ROVERBELLA89,S.ANGELO LODIGIANO0980500005,S.GIULIANO0151950015,S.ROCCO AL PORTO0980490001,SABBIONETA91,SALERANO0981900003,SAMARATEPO1211800500T0,SAN  DONATO0151920005,SAN BASSANO019088.0003,SAN BENEDETTO PO92,SAN BENEDETTO PO93,SAN DANIELE PO019089.0002,SAN GIACOMO DELLE SEGNATE94,SAN GIOVANNI DOSSO96,SAN GIOVANNI IN CROCE019090.0001,SAN MARTINO97,SANNAZZARO60,SANTA CRISTINA14,SCANDOLARA RAVARA019092.0004,SEDRIANO0152040003,SEGRATE0152050140,SENAGO0152060004,SERGNANO019094.0004,SESTO C.PO1212000200T0,SESTO SAN GIOVANNI0152090016,SETTALA0152100004,SETTIMO MILANESE0152110005,SIZIANO62,SOLARO0152130021,SOMMO2,SPINEDA019101.0002,STELVIOPO014026OU0001,SUISIO0162091633,TERNO D'ISOLA0162130228,TORNATA019106.0003,TORRAZZA COSTE22,TORRE D'ARESE9,TORREBERETTI25,TRAVAGLIATO33,TREVIGLIO0162190302,TREZZANO SUL NAVIGLIO0152210001,TROMELLO61,TUFPO014066NR0001,TURATE2(3),URAGO D'OGLIO34,URGNANO0162220004,USMATE VELATEPC15227001,VAILATE019112.0003,VALERIANAPO014061OU0001,VALLE LOMELLINA43,VANZAGHELLO0152490020,VANZAGHELLO0152490004,VENEGONO I.PO1213600100T0,VERDERIO SUPERIOREPC09788001,VERMEZZO0152350001,VERNATE0152360003,VEROLAVECCHIA35,VERRUA19,VIADANA105,VIGEVANO47,VIGEVANO49,VIGEVANO50,VIGEVANO48,VIGNATE0152370002,VILLA CARCINA36,VIMERCATE0152410041,VOGHERA27,VOGHERA20,ZERBOLÒ3,ZINASCO1
1988-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,,146.27,,,,,,,,,,,,,,,113.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.9,,,,,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5,,,,,,,115.8,,,,,,155.61,,,,,,,,,,,,,,,,,,,,,,,,
1989-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,157.4,,,,,145.25,,,,,,,,,,,,,,,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.52,,,,,98.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.15,,,,,,,114.6,,,,,,152.77,,,,,,,,,,,,,,,,,,,,,,,,
1989-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,156.37,,,,,145.63,,,,,,,,,,,,,,,112.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.83,,,,,98.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.48,,,,,,,111.6,,,,,,152.06,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,165.75,,,,,146.96,,,,,,,,,,,,,,,113.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.43,,,,,100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.2,,,,,,,111.75,,,,,,154.14,,,,,,,,,,,,,,,,,,,,,,,,
1989-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,166.25,,,,,146.9,,,,,,,,,,,,,,,113.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.88,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.12,,,,,,,116.5,,,,,,154.22,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,166.35,,,,,146.5,,,,,,,,,,,,,,,113.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.71,,,,,99.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.4,,,,,,,116.45,,,,,,156.82,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,,,145.6,,,,,,,,,,,,,,,112.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.48,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.05,,,,,,,115.15,,,,,,154.57,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8,,,,,144.45,,,,,,,,,,,,,,,111.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.23,,,,,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.3,,,,,,,114.0,,,,,,151.57,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,157.0,,,,,144.58,,,,,,,,,,,,,,,111.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.38,,,,,97.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.05,,,,,,,113.0,,,,,,151.12,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,165.25,,,,,146.46,,,,,,,,,,,,,,,112.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.78,,,,,99.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.5,,,,,,,115.0,,,,,,154.06,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,166.05,,,,,146.25,,,,,,,,,,,,,,,112.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.52,,,,,99.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.5,,,,,,,116.15,,,,,,154.6,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,166.2,,,,,146.7,,,,,,,,,,,,,,,112.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.48,,,,,99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.6,,,,,,,116.85,,,,,,154.32,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,145.83,,,,,,,,,,,,,,,112.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.07,,,,,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.4,,,,,,,114.0,,,,,,154.34,,,,,,,,,,,,,,,,,,,,,,,,
1991-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,157.69,,,,,144.85,,,,,,,,,,,,,,,112.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.92,,,,,98.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.56,,,,,,,112.37,,,,,,152.09,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,161.93,,,,,145.59,,,,,,,,,,,,,,,112.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.49,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.59,,,,,,,114.11,,,,,,153.09,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,160.74,,,,,146.07,,,,,,,,,,,,,,,111.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.13,,,,,100.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.63,,,,,,,115.7,,,,,,153.49,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,164.4,,,,,146.5,,,,,,,,,,,,,,,112.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.17,,,,,99.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.78,,,,,,,116.79,,,,,,154.17,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,159.47,,,,,146.12,,,,,,,,,,,,,,,112.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.05,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.86,,,,,,,116.86,,,,,,153.47,,,,,,,,,,,,,,,,,,,,,,,,
1991-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,162.78,,,,,146.41,,,,,,,,,,,,,,,113.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.53,,,,,99.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.57,,,,,,,115.89,,,,,,154.46,,,,,,,,,,,,,,,,,,,,,,,,
1991-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,162.98,,,,,145.9,,,,,,,,,,,,,,,113.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.93,,,,,98.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.66,,,,,,,114.9,,,,,,155.07,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,163.26,,,,,145.74,,,,,,,,,,,,,,,112.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.25,,,,,98.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.77,,,,,,,113.86,,,,,,154.7,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,157.65,,,,,145.65,,,,,,,,,,,,,,,112.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.62,,,,,98.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.8,,,,,,,113.42,,,,,,153.81,,,,,,,,,,,,,,,,,,,,,,,,
1992-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,157.62,,,,,145.18,,,,,,,,,,,,,,,112.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.53,,,,,97.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.25,,,,,,,112.9,,,,,,152.48,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,157.58,,,,,144.87,,,,,,,,,,,,,,,112.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.43,,,,,98.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.34,,,,,,,112.55,,,,,,151.41,,,,,,,,,,,,,,,,,,,,,,,,
1992-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,157.61,,,,,143.29,,,,,,,,,,,,,,,111.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.75,,,,,97.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.27,,,,,,,112.01,,,,,,150.92,,,,,,,,,,,,,,,,,,,,,,,,
1992-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,161.35,,,,,144.8,,,,,,,,,,,,,,,111.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.26,,,,,97.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.44,,,,,,,112.27,,,,,,152.21,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,164.19,,,,,146.09,,,,,,,,,,,,,,,112.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.1,,,,,99.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.56,,,,,,,114.45,,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,,,
1992-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,166.66,,,,,145.52,,,,,,,,,,,,,,,112.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.15,,,,,99.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.24,,,,,,,114.02,,,,,,154.92,,,,,,,,,,,,,,,,,,,,,,,,
1992-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,166.75,,,,,147.2,,,,,,,,,,,,,,,113.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.19,,,,,100.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.45,,,,,,,116.75,,,,,,157.08,,,,,,,,,,,,,,,,,,,,,,,,
