DATA,PO012002NU0008,PO012026NU3021,PO0120500RZ001,PO012070NU1007,PO0120750R2020,PO0120790RZ001,PO012090NU2009,PO0121180U0005,PO012119NUP001,PO012123NUP001,PO0121300RZ001,PO012136NUZ001,PO0130230U0003,PO0130280U0009,PO013029NU0003,PO0130460U0001,PO013064NU0002,PO0131310U0001,PO0131330U0009,PO013138NU0001,PO013143NUP001,PO0131590U0001,PO0150020U0005,PO0150020U0014,PO0150150U0001,PO015019NR0001,PO015041NR0075,PO015051NR0012,PO015060NU0070,PO015062NR0071,PO0150870U0001,PO0151080U0002,PO015113NUP001,PO015140NR0109,PO015146NU1120,PO015146NU1313,PO015146NU1353,PO015146NU1378,PO015146NU1379,PO015146NU1435,PO015146NU1489,PO015146NU1496,PO015146NU1534,PO015146NU1536,PO015146NU1557,PO015173NR0001,PO0151810U0001,PO015194NU0017,PO0152020U0025,PO0152060U0004,PO0152100U0004,PO015211NUP001,PO015219NU0009,PO0152210U0001,PO0152350U0001,PO015243NUP001,PO015247NR0185,PO0152490U0002,PO0160240R0296,PO0160280R0003,PO016042NU0001,PO0160750U0003,PO0160760R1284,PO0160890R0001,PO0160980R0009,PO0161150U0002,PO016117NU0001,PO0161220R0519,PO016123NU0001,PO0161290R0001,PO0161530R0004,PO0161570R3380,PO0161770U0001,PO0161830R0003,PO0162120R0001,PO0162130R0002,PO016219NUP001,PO017013NRP001,PO0170290RC490,PO0170290UB135,PO017029NR0001,PO017029NR0003,PO017029NU0001,PO0170340RC481,PO0170340RC483,PO017037NRP001,PO0170400RC511,PO0170450RC542,PO0170600UC013,PO0170710RC478,PO017073NUP001,PO0170860UC579,PO0170880RC541,PO0171130RC561,PO017113NRD106,PO0171140UC023,PO0171220R0001,PO017122NRP001,PO0171660UC529,PO0171960RC629,PO018003NR0009,PO0180130U0005,PO018014NRP001,PO018032NR0001,PO0180350U0002,PO018039NR0001,PO018039NRP001,PO018043NUP001,PO0180470U0001,PO018047NR0001,PO0180480U0004,PO018048NRP001,PO0180490U0003,PO0180500U0002,PO018062NRD002,PO018065NRG001,PO018068NRP001,PO0180690U0002,PO018072NUP001,PO0180810U0111,PO0180880U0001,PO0181100U0111,PO0181140U0002,PO0181150U0006,PO0181180U0019,PO0181220U0001,PO018146NRP001,PO018147NUP001,PO0181550U0001,PO018162NUP001,PO018173NUP001,PO018176NUP001,PO0181770U0020,PO018180NUP001,PO019027NRA001,PO019033NRA001,PO019035NRA001,PO019036NUA001,PO019040NRA001,PO019047NRA001,PO019051NRA001,PO019056NRA001,PO019065NRA001,PO019070NRA001,PO019071NRA001,PO019077NRA001,PO019083NRA001,PO019084NRA002,PO019088NRP001,PO019089NUA001,PO019091NRA001,PO019094NU0944,PO019103NRA001,PO019110NRA001,PO0200030R0002,PO020004NR0001,PO0200150R0002,PO0200170R0001,PO020017NU0005,PO020018NU0004,PO0200210R0045,PO020021NRP001,PO020023NUP001,PO0200240R0001,PO0200270R0053,PO0200280R0056,PO0200290R0002,PO020030NU0004,PO0200310R0062,PO020032NR0001,PO0200330R0002,PO020034NU0002,PO0200370R0002,PO0200400R0001,PO0200420R0001,PO0200510R0002,PO0200530R0089,PO0200570U0002,PO020061NR0001,PO020061NUP001,PO020063NU0002,PO0200650R0002,PO0200700R0002,PO0200720R0001,PO0970200U0002,PO0970200U0003,PO0970440U0002,PO0970480U0001,PO0970610U0015,PO098002NR0045,PO098003NR0063,PO098008NR0025,PO0980100U0007,PO0980110U0001,PO0980180U0001,PO0980200U0003,PO098024NR0087,PO098025NR0110,PO098026NR0074,PO098031NR0333,PO0980320U0002,PO098049NR0141,PO0980510U0001,PO098052NR0037,PO0980600U0001,PO1080210U0002,PO108023NU0003,PO1080310U0001,PO108033NR0142,PO108033NU0243,PO1080350U0024,PO1080390U0026,PO1080520U0016,PO098017NR0063,PO0980530U0003,PO0980610U0001,CAP-0151750003,CAP-0151750289,CAP-0152050004,CAP-0152050138,CAP-0152050140,CAP-0151910009,CAP-0150500002,CAP-0151150001,CAP-0152020001,CAP-0152020002,CAP-0150150005,CAP-0151250001,CAP-0151250004,CAP-0151400003,CAP-0151590002,CAP-0151590004,CAP-0151890001,CAP-0151920002,CAP-0151920005,CAP-0151920023,CAP-0151920024,CAP-0151950005,CAP-0151950006,CAP-0151950007,CAP-0151950012,CAP-0151950015,CAP-0152470001,CAP-0152220001,CAP-0152230001,CAP-0151220001,CAP-0151390001,CAP-01080310001,CAP-0151670001,CAP-0151710001,CAP-0151710024,CAP-0151710197,CAP-0151850001,CAP-0151850004,CAP-0152100001,CAP-0980130001,CAP-0980290001,CAP-0980290003,CAP-0980490001,CAP-0980150003,CAP-0980280001,CAP-0980500005,CAP-0980590001,CAP-0980040003,CAP-0980040007,CAP-0980050002,CAP-0980050003,CAP-0980070001,CAP-0980140001,CAP-0980140003,CAP-0980170000,CAP-0980170003,CAP-0980170012,CAP-0980230001,CAP-0980260001,CAP-0980260002,CAP-0980330001,CAP-0980350002,CAP-0980370001,CAP-0980370002,CAP-0980400001,CAP-0980420003,CAP-0980450001,CAP-0980480003,CAP-0980480004,CAP-0980560001,CAP-0980580002,CAP-0980020001,CAP-0980020002,CAP-0980060001,CAP-0980090001,CAP-0980200001,CAP-0980390001,CAP-0980410001,CAP-0181140002,CAP-0180700001,CAP-0180780001,CAP-0181800003,CAP-0180930002,CAP-0181390002,CAP-0181500002,CAP-0181570001,idroscalo
1977-11-01,,,,,,,,,,,,,,,,,,,,,,,,,93.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.16,,105.55,,,,,,,,,88.24000000000001,,,93.11,,94.61,89.61,,,,90.74,,,,,,,,,,,,97.3,,,,,105.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.52,,,,,,,,,,
1977-12-01,,,,,,,,,,,,,,,,,,,,,,,,,93.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.56,,105.85,,,,,,,,,87.84,,,92.91,,94.31,90.11,,,,90.94,,,,,,,,,,,,97.7,,,,,105.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.62,,,,,,,,,,
1978-01-01,,,,,,,,,,,,,,,,,,,,,,,,,93.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.76,,105.85,,,,,,,,,88.14,,,93.41,,94.91,89.71,,,,90.69,,,,,,,,,,,,97.8,,,,,106.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.22,,,,,,,,,,
1978-02-01,,,,,,,,,,,,,,,,,,,,,,,,,93.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.86,,105.95,,,,,,,,,88.54,,,93.71,,95.11,90.21,,,,91.14,,,,,,,,,,,,98.05,,,,,106.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.02,,,,,,,,,,
1978-03-01,,,,,,,,,,,,,,,,,,,,,,,,,93.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.76,,105.75,,,,,,,,,88.24000000000001,,,94.01,,95.41,90.61,,,,91.34,,,,,,,,,,,,97.6,,,,,106.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.77,,,,,,,,,,
1978-04-01,,,,,,,,,,,,,,,,,,,,,,,,,93.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.26,,104.85,,,,,,,,,84.94,,,93.21,,94.51,89.51,,,,90.64,,,,,,,,,,,,97.3,,,,,105.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.32,,,,,,,,,,
1978-05-01,,,,,,,,,,,,,,,,,,,,,,,,,93.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.16,,104.75,,,,,,,,,87.04,,,93.61,,94.81,89.91,,,,90.94,,,,,,,,,,,,97.3,,,,,105.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.92,,,,,,,,,,
1978-06-01,,,,,,,,,,,,,,,,,,,,,,,,,93.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.46,,105.05,,,,,,,,,87.64,,,93.41,,94.91,89.81,,,,90.74,,,,,,,,,,,,97.45,,,,,105.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.32,,,,,,,,,,
1978-07-01,,,,,,,,,,,,,,,,,,,,,,,,,93.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76,,104.95,,,,,,,,,87.14,,,93.01,,94.41,89.61,,,,90.74,,,,,,,,,,,,97.3,,,,,105.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.32,,,,,,,,,,
1978-08-01,,,,,,,,,,,,,,,,,,,,,,,,,94.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.36,,105.25,,,,,,,,,88.34,,,93.41,,95.91,89.91,,,,91.34,,,,,,,,,,,,97.65,,,,,105.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.42,,,,,,,,,,
1978-09-01,,,,,,,,,,,,,,,,,,,,,,,,,93.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.86,,105.4,,,,,,,,,87.84,,,93.41,,95.21,89.31,,,,90.74,,,,,,,,,,,,97.65,,,,,106.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.22,,,,,,,,,,
1978-10-01,,,,,,,,,,,,,,,,,,,,,,,,,93.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.06,,105.65,,,,,,,,,87.84,,,93.11,,95.11,89.31,,,,90.74,,,,,,,,,,,,97.5,,,,,106.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.62,,,,,,,,,,
1978-11-01,,,,,,,,,,,,,,,,,,,,,,,,,93.48899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.06,,105.35,,,,,,,,,87.14,,,93.21,,95.21,89.41,,,,90.54,,,,,,,,,,,,97.5,,,,,105.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.12,,,,,,,,,,
1978-12-01,,,,,,,,,,,,,,,,,,,,,,,,,93.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.66,,105.85,,,,,,,,,86.59,,,92.76,,95.21,90.01,,,,91.04,,,,,,,,,,,,97.7,,,,,105.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.72,,,,,,,,,,
