CODICE,CODICE_SIF,CODICE_FOG,MACROAREE,PROVINCIA,COMUNE,CODICEWISE,RETE,QUANTI_ESECUTORE,STATO,DATA_INIZIO,ALTRO_CODICE,SOSTITUITO_DA,SOSTITUISCE,X_GB,Y_GB,X_WGS84,Y_WGS84,ORIGINE_COORDINATE,QUOTA_MISU,QUOTA_PC_SLM,H_BP,PROFONDITA,FILTRI_N,FILTRI_TOP,FILTRI_BOTTOM,USO,TIPO,GWB_2015,Codice WISE Corpo idrico,Nome Corpo Idrico,SONDA AUTOMATICA,NOTE,ORIGINE,lat,lon,ALTRI CODICI,z_PTUA2003,z_CAP,z_Idroscalo2005,z_Milano1950,z_OLONA,STRAT,FALDA,FLT1_DA,FLT1_A,FLT2_DA,FLT2_A
PO0161720U0001,,,3.0,BG,PONTIROLO NUOVO,IT03GWBISSAPAO_PO0161720U0001,2.0,,M,,,,,1544767.0,5046525.0,544740.0,5046505.0,2.0,154.4,154.4,,42.0,1.0,33.0,39.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.57064613440854,9.573376467672446,,,,,,,,,,,,
PO0161770U0001,,,3.0,BG,PUMENENGO,IT03GWBISSAPAO_PO0161770U0001,3.0,1,M,2001-05-01,,,,1567775.0,5036488.0,567748.0,5036468.0,1.0,110.197,110.197,0.0,60.0,1.0,42.0,54.0,POTABILE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,SI,DATI SONDA AUTOMATICA NON VALIDI,PTUA2022,45.47845206713151,9.866824334316709,,,,,,,,,,,,
PO0161830R0003,,,3.0,BG,ROMANO DI LOMBARDIA,IT03GWBISSAPAO_PO0161830R0003,1.0,1,M,2006-02-01,,,,1559087.0,5041618.0,559060.0,5041598.0,1.0,124.207,124.207,0.0,62.0,1.0,55.0,60.0,POTABILE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,SI,,PTUA2022,45.525413290532455,9.7562912502622,,,,,,,,,,,,
PO0162070R0001,,,3.0,BG,STEZZANO,IT03GWBISSAPAO_PO0162070R0001,2.0,,M,,,,,1551930.0,5055420.0,551903.0,5055400.0,2.0,214.0,214.0,,84.0,3.0,54.0,81.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.65020664650802,9.666116884002978,,,,,,,,,,,,
PO0162120R0001,,,3.0,BG,TELGATE,IT03GWBISSAPAO_PO0162120R0001,3.0,1,M,2014-05-01,,,,1567114.0,5052583.0,567087.0,5052563.0,2.0,191.0,190.5,0.5,72.0,1.0,48.0,72.0,IRRIGUO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.62337158597267,9.86057590043863,,,,,,,,,,,,
PO0162130R0002,,,3.0,BG,TERNO D'ISOLA,IT03GWBISSAPAO_PO0162130R0002,1.0,1,M,2004-08-01,,,,1541535.0,5059487.0,541508.0,5059467.0,1.0,230.29,230.29,0.0,58.0,1.0,30.0,52.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.68751154351576,9.533062608171429,,,,,,,,,,,,
PO016219NUP001,,,3.0,BG,TREVIGLIO,IT03GWBISSAPAO_PO016219NUP001,3.0,1,M,2015-03-01,338,,,1546081.0,5041378.0,546054.0,5041359.0,1.0,127.309,126.559,-0.75,57.0,2.0,38.0,54.0,POTABILE,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.52424337370635,9.589730928230136,,,,,,,,,,,,
PO0162240R0001,,,3.0,BG,VALBREMBO,IT03GWBISSAPAO_PO0162240R0001,2.0,,M,,,,,1546514.0,5062518.0,546487.0,5062498.0,1.0,239.214,239.214,0.0,102.0,2.0,54.0,100.0,ZOOTECNICO,POZZO,GWB ISS APAO,IT03GWBISSAPAO,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Adda - Oglio,,,PTUA2022,45.71447530935679,9.597292049906796,,,,,,,,,,,,
PO0170020RC545,,,4.0,BS,ADRO,IT03GWBISSAPOM_PO0170020RC545,2.0,,N,,,PO0170020U0002,,1573729.0,5052149.0,573702.0,5052129.0,2.0,214.63,214.63,,90.0,1.0,71.0,85.0,IRRIGUO,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,,,PTUA2022,45.618795020336044,9.94535475521579,,,,,,,,,,,,
PO017122NRP001,,,4.0,BS,BARBARIGA,IT03GWBISSMPOM_PO017122NRP001,1.0,1,M,2015-07-01,703,,,1583867.0,5027930.0,583840.0,5027911.0,1.0,80.26,80.05,-0.21,30.0,1.0,12.0,30.0,IRRIGUO,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,,,PTUA2022,45.39969416752855,10.071227610196138,,,,,,,,,,,,
PO017013NRP001,,,4.0,BS,BASSANO BRESCIANO,IT03GWBISSMPOM_PO017013NRP001,2.0,,M,2017-11-01,697,,,1587770.0,5018673.0,587743.0,5018654.0,1.0,61.799,62.549,0.75,22.0,,,,IGIENICO/INDUSTRIALE,POZZO,GWB ISS MPOM,IT03GWBISSMPOM,Corpo idrico sotterraneo superficiale di Media pianura Bacino Oglio - Mincio,,,PTUA2022,45.31590597949002,10.119442941416757,,,,,,,,,,,,
PO0170290RC490,,,4.0,BS,BRESCIA,IT03GWBISSAPOM_PO0170290RC490,3.0,2,M,2009-01-01,,,,1600991.0,5039616.0,600963.0,5039596.0,1.0,135.48,135.48,0.0,34.0,1.0,17.0,34.0,ANTINCENDIO,POZZO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,SI,,PTUA2022,45.50258552564528,10.292357521412079,,,,,,,,,,,,
PO0170290UB135,,,4.0,BS,BRESCIA,IT03GWBISSAPOM_PO0170290UB135,3.0,1,M,2009-06-01,,,,1591245.0,5041399.0,591217.0,5041379.0,1.0,119.62,119.62,0.0,25.0,1.0,9.0,25.0,MONITORAGGIO BONIFICA,PIEZOMETRO,GWB ISS APOM,IT03GWBISSAPOM,Corpo idrico sotterraneo superficiale di Alta pianura Bacino Oglio - Mella,SI,,PTUA2022,45.51997436843815,10.16796508151335,,,,,,,,,,,,
